id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
281,,5811,NA,EPL,Pre-Application_EPL_124,,Industrial Minerals,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,IM,Application,218276,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5811,,,,Exploration,,Industrial Minerals,,Kunene Power Plant Trading CC (100.00%),,8144.6201,Exclusive Prospecting Licence,2014-11-12
282,,5812,NA,EPL,Pre-Application_EPL_125,,"Base and Rare Metals, Precious Stones, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, PS, SPS",Application,218277,10,"Namibia,Karas,Luderitz; N",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5812,,,,Exploration,,"Base and Rare Metals, Precious Stones, Semi-Precious Stones",,Luis Miguel Weyulu Mukwambi (100.00%),,3001.0422,Exclusive Prospecting Licence,2014-11-12
283,,5813,NA,EPL,Pre-Application_EPL_126,,"Precious Metals, Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"PM, PS",Application,218278,10,"Namibia,Karas,Luderitz; N",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,"EPL-5813
",,,,Exploration,,"Precious Stones, Semi-Precious Stones",,Gravity Empire Investments (PTY) Ltd (100.00%),,2104.2774,Exclusive Prospecting Licence,2014-11-12
284,,5817,NA,EPL,Pre-Application_EPL_131,,Dimension Stone,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,DS,Application,218279,10,"Namibia,Erongo,Karibib; H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5817,,,,Exploration,,Dimension Stone,,Rosalia Soini Ndeiluka (100.00%),,412.8251,Exclusive Prospecting Licence,2014-11-14
285,,5818,NA,EPL,Pre-Application_EPL_130,,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, PM",Application,218280,10,"Namibia,A, Kunene,Khorixas",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5818,,,,Exploration,,Precious Metals,,Gravity Empire Investments (PTY) Ltd (100.00%),,15076.9569,Exclusive Prospecting Licence,2014-11-14
286,,5820,NA,EPL,Pre-Application_EPL_134,,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, PM",Application,218281,10,"Namibia,B, Kunene,Tsumeb; Oshikoto, Otjozondjupa,Grootfontein",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5820,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Gravity Empire Investments (PTY) Ltd (100.00%),,31151.8619,Exclusive Prospecting Licence,2014-11-18
287,,5820,NA,EPL,Pre-Application_EPL_134,,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, PM",Application,218282,10,"Namibia,B, Kunene,Tsumeb; Oshikoto, Otjozondjupa,Grootfontein",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5820,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Gravity Empire Investments (PTY) Ltd (100.00%),,31151.8619,Exclusive Prospecting Licence,2014-11-18
288,,5821,NA,EPL,Pre-Application_EPL_135,,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, PM",Application,218283,10,"Namibia,A, Kunene,Khorixas, Outjo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5821,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Gravity Empire Investments (PTY) Ltd (100.00%),,99576.352,Exclusive Prospecting Licence,2014-11-18
289,,5824,NA,EPL,Pre-Application_EPL_138,,"Base and Rare Metals, Dimension Stone",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS",Application,218284,10,"Namibia,C, Erongo,Omaruru",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5824,,,,Exploration,,"Base and Rare Metals, Dimension Stone",,Mopane Mineral Resources CC (100.00%),,10304.2282,Exclusive Prospecting Licence,2014-11-19
290,,5825,NA,EPL,Pre-Application_EPL_139,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, Nnf, PM, PS",Application,218285,10,"Namibia,A, B, D, Otjozondjupa,Grootfontein, Otjiwarongo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5825,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones",,FGK Investments Fifty-Five (Pty) Ltd (100.00%),,6089.0,Exclusive Prospecting Licence,2014-11-24
291,,5826,NA,EPL,Pre-Application_EPL_140,,"Base and Rare Metals, Industrial Minerals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM",Application,218286,10,"Namibia,Erongo,Swakopmund; G",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5826,,,,Exploration,,"Base and Rare Metals, Industrial Minerals",,Tamagre Investment CC (100.00%),,7106.0,Exclusive Prospecting Licence,2014-11-24
292,,5827,NA,EPL,Pre-Application_EPL_132,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, Nnf, PM, PS",Application,218287,10,"Namibia,Hardap,Maltahohe; N, P",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5827,,,,Exploration,,"Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones",,Oluzizi Minerals Exploration CC (100.00%),,53714.1098,Exclusive Prospecting Licence,2014-11-24
293,,5829,NA,EPL,Pre-Application_EPL_142,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, Nnf, PM, PS",Application,218288,10,"Namibia,A, Kunene,Khorixas, Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5829,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones",,Anisotropic Energy and Minerals CC (100.00%),,2375.2237,Exclusive Prospecting Licence,2014-11-24
