id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
1135,2008-10-15,68115,NA,MC,,68115,Industrial Minerals,Part 2,0,Active,,Namibia Mining Cadastre Portal,0,,0,2008-07-15,,,IM,Pending Renewal,216887,18,"Namibia,K, Khomas,Windhoek",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2011-10-15,Namibia,False,14/2/2/1/2/,68115,,,,Claims,,Industrial Minerals,,Peralin (Pty) Limited (100.000000%),2013-10-14,,Mining Claim,2008-07-23
1136,2008-10-15,68116,NA,MC,,68116,Industrial Minerals,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2008-07-15,,,IM,Pending Renewal,216888,18,"Namibia,K, Khomas,Windhoek",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2011-10-15,Namibia,False,14/2/2/1/2/,68116,,,,Claims,,Industrial Minerals,,Peralin (Pty) Limited (100.000000%),2013-10-14,,Mining Claim,2008-07-23
1137,2008-10-15,68117,NA,MC,,68117,Industrial Minerals,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2008-07-15,,,IM,Pending Renewal,216889,18,"Namibia,K, Khomas,Windhoek",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2011-10-15,Namibia,False,14/2/2/1/2/,68117,,,,Claims,,Industrial Minerals,,Peralin (Pty) Limited (100.000000%),2013-10-14,,Mining Claim,2008-07-23
1138,2008-10-15,68118,NA,MC,,68118,Industrial Minerals,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2008-07-15,,,IM,Pending Renewal,216890,18,"Namibia,K, Khomas,Windhoek",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2011-10-15,Namibia,False,14/2/2/1/2/,68118,,,,Claims,,Industrial Minerals,,Peralin (Pty) Limited (100.000000%),2013-10-14,,Mining Claim,2008-07-23
1139,2008-10-15,68120,NA,MC,,68120,Industrial Minerals,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2008-07-15,,,IM,Pending Renewal,216891,18,"Namibia,Khomas,Windhoek; M",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2011-10-15,Namibia,False,14/2/2/1/2/,68120,,,,Claims,,Industrial Minerals,,Peralin (Pty) Limited (100.000000%),2013-10-14,,Mining Claim,2008-07-23
1140,2008-10-15,68121,NA,MC,,68121,Industrial Minerals,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2008-07-15,,,IM,Pending Renewal,216892,18,"Namibia,Khomas,Windhoek; M",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2011-10-15,Namibia,False,14/2/2/1/2/,68121,,,,Claims,,Industrial Minerals,,Peralin (Pty) Limited (100.000000%),2013-10-14,,Mining Claim,2008-07-23
1141,,Test-75,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216893,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,7833.3027,Test Areas,
1142,,Test-76,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216894,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,25080.6048,Test Areas,
1143,,Test-77,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216895,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,93237.5473,Test Areas,
1144,,Test-78,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216896,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,,Test Areas,
